id,title,content,candidate_entities,canonical_name,type,aliases,circle,weight,reviewer_notes
55,硅谷观察｜ AI的尽头：不是模型，而是电厂,"碳基需求正让位于硅基需求，电力已成为 AI 规模化最硬的瓶颈，迫使科技巨头从单纯购买芯片转向大规模投资自建电厂与重构能源基础设施以突破电网限制。
碳基需求正在给硅基需求让步，硅基不光需要GPU，而且对电力胃口已经超过碳基需求,从过去两周最新消息来看，“电力”以前所未有的密度涌进硅谷AI行业头版。
5月11日，Blackstone以10亿美元入股发电商VoltaGrid，同日英伟达以最高21亿美元的5年期股权期权入股AI数据中心运营商IREN；5月6日，比特币矿企转型的Hut 8在得克萨斯州Beacon Point签下98亿美元、15年、352MW的take-or-pay租约，股价当天涨近30%。
4月20日，Anthropic与亚马逊扩大合作：Anthropic承诺未来十年在AWS技术上投入超过1000亿美元，并获得最高5GW的新算力容量，用于训练和运行Claude。 5GW约相当于数座大型核电机组的装机容量。
这一系列交易最值得注意的不是价格，而是亚马逊公告中那个词——“binding constraint”。这说明，不是芯片、不是人才、不是算法，是电，成为AI规模化最硬的瓶颈。
这",,,,,,,
27,京东次日达杀进欧洲，然后呢？,"你的强来了。
据外媒 5 月 25 日报道，京东正计划以约 20 亿英镑收购英国在线零售巨头 The Very Group。若交易完成，将成为京东切入英国电商市场的关键一步。截至发稿，双方均不予置评。
京东 Joybuy 已经带着他的“次日达”杀到了欧洲，杀进了比利时、德国、法国、荷兰、卢森堡、英国。
据称，欧洲电商市场长久苦于履约缓慢、快递服务差、时常罢工；东西运上一两个月杳无音讯，两个月后告知丢件的事情常有。
京东瞄准的就是这个痛点，十年自建仓库，一年 beta，想打一场持久战。
但当 Joybuy 把货送到欧洲之后，用户还没来。
LSA 报道过法国金融科技公司 Joko 针对京东做的一份分析，给出了Joybuy 试运营期间的数据。数据并不健康，优惠活动期间用户涌入，活动结束后粘性骤降，四周左右基本打回原形。欧洲人知道亚马逊、知道 Temu 和Shein，不知道Joybuy。
而且Joybuy 可能在很长一段时间都无法回答这个问题。
SuperHeroes Amsterdam 是一家创立于阿姆斯特丹的全球独立创意广告公司，以“拯救世界，远离无聊广告”为使命，客户包括 Netflix",,,,,,,
156,投资观察观投资动态，察行业乱象,投资观察观投资动态，察行业乱象,,,,,,,
10,能源早报 | 湖南裕能拟筹划发行H股并在港股上市；阳光电源中标阿联酋7.5GWh储能订单,"美能能源拟终止神木市LNG应急调峰储配站工程项目；京东方A称，预计未来2-3年内，玻璃基封装载板等业务无法对经营业绩产生重大影响。美能能源拟终止神木市LNG应急调峰储配站工程项目；京东方A称，预计未来2-3年内，玻璃基封装载板等业务无法对经营业绩产生重大影响。
湖南裕能拟筹划发行H股并在港股上市
湖南裕能5月21日公告称，公司为进一步推进全球化战略布局，打造国际化资本运作平台，拟筹划发行H股股票并申请在香港联交所上市。该事项尚需提交董事会和股东会审议，并需获得中国证监会、香港联交所等监管机构的备案、批准或核准，最终实施存在不确定性。
阳光电源中标阿联酋7.5GWh储能订单
阳光电源5月21日宣布，公司中标阿联酋7.5GWh储能订单，与国际可再生能源公司Masdar合作，为阿联酋RTC1Plant(North)项目供应7.5GWh PowerTitan3.0液冷储能系统及2.6GW逆变器。该项目是全球最大规模684Ah叠片电芯应用项目，预计2027年并网。
神马电力股东陈小琴拟减持不超3%股份
神马电力5月21日公告称，持股5%以上股东陈小琴计划自2026年6月12日至2026年9月11",,,,,,,
268,【10-24】中国共产党第二十届中央委员会第四次全体会议公报,【10-24】中国共产党第二十届中央委员会第四次全体会议公报,,,,,,,
113,高志凯：目前人民币全球交易结算占比只有2.5%-3% 建议提高至30%,高志凯：目前人民币全球交易结算占比只有2.5%-3% 建议提高至30%,,,,,,,
187,把烟花秀搬进直播间，艺术家蔡国强首个线上展于抖音独家上线,把烟花秀搬进直播间，艺术家蔡国强首个线上展于抖音独家上线,,,,,,,
249,“十五五”时期我国新型电网投资预计将超过5万亿元,“十五五”时期我国新型电网投资预计将超过5万亿元,,,,,,,
262,【05-13】李强主持召开国务院常务会议,【05-13】李强主持召开国务院常务会议,,,,,,,
1,能源早报 | 国务院成立留神峪煤矿事故调查组；世界规模最大海上换流站在南通正式启运,"我国海上最大规模浅层岩性油田一期开发项目全面投产；恩捷股份子公司拟收购江苏爱思开100%股权，基础购买价款为4亿元。我国海上最大规模浅层岩性油田一期开发项目全面投产；恩捷股份子公司拟收购江苏爱思开100%股权，基础购买价款为4亿元。
国务院成立山西留神峪煤矿特别重大瓦斯爆炸事故调查组
据央视新闻5月27日晚间报道，5月22日19时29分许，山西省长治市沁源县山西通洲集团留神峪煤业有限公司井下发生瓦斯爆炸事故，造成重大人员伤亡。为认真贯彻落实习近平总书记重要指示精神，按照李强总理等中央领导同志批示要求，根据国家有关法律法规规定，国务院成立事故调查组，由应急管理部牵头，公安部、自然资源部、全国总工会、国家能源局、国家矿山安监局和山西省人民政府等相关方面参加，对山西长治山西通洲集团留神峪煤业有限公司“5·22”特别重大瓦斯爆炸事故进行调查。
国家能源局公布“人工智能+”能源高价值场景清单
5月27日，国家能源局正式对外公布了51个“人工智能+”能源高价值场景清单。据介绍，51个高价值场景包括重要输电通道强对流灾害智能应急处置、新型配电网智能诊断与智慧运营、大规模车网互动智能运营优化、清洁能源",,,,,,,
65,侨批收藏家眼中的“情书”，它承载的金融变迁不应被遗忘,"《给阿嬷的情书》引发的热潮还在持续，也让侨批进入更多人的视野。
电影《给阿嬷的情书》票房破十亿元，成为今年开分最高的国产片，目前密钥已延期至6月30日。
电影引发的热潮还在持续，也让侨批进入更多人的视野。它是海外华侨通过民间渠道寄回国内的信件与汇款合一的邮传载体，同时是连带家书或简单附言的汇款凭证。第一财经记者近日采访了曾在中国银行系统工作30多年的侨批研究者和收藏家黄清海。

他是福建泉州人，家乡永春县湖洋镇位于闽南山区，距离泉州市区和莆田市区都近100公里。与广东、福建的众多乡镇一样，湖洋镇也是侨乡。黄清海的曾祖父、祖父曾在马来亚谋生，并向家中寄回侨批，他小时候也多次见到父亲收到侨批。
黄清海自上世纪80年代末开始收藏、研究侨批文书，撰写、参编多部相关史料性书籍。随着《给阿嬷的情书》上映，他创办的自媒体“侨批与契约精神”自4月下旬以来不断发布新内容。
从集邮到研究侨批
黄清海年轻时就接触集邮。1996年，他编辑的《泉州侨批业史料》作为集邮文献类作品，在北京亚洲集邮展览上获奖。2005年，他的《闽南侨批》邮集获泰国国际集邮侨批展“大镀金奖”。
贴有邮票、盖有邮戳和信局印章等信息的侨批",,,,,,,
254,工业互联网与油气储运行业融合应用参考指南发布,工业互联网与油气储运行业融合应用参考指南发布,,,,,,,
